TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC	LEVENSHTEIN	DATE
'	O	_	_	_	_	_	_	_	NOSPACEAFTER		
amoncellement	O	_	_	_	_	_	_	_	ENDOFLINE		
des	O	_	_	_	_	_	_	_	_		
neiges	O	_	_	_	_	_	_	_	_		
chassées	O	_	_	_	_	_	_	_	_		
par	O	_	_	_	_	_	_	_	_		
le	O	_	_	_	_	_	_	_	_		
vent	O	_	_	_	_	_	_	_	_		
a	O	_	_	_	_	_	_	_	_		
jeté	O	_	_	_	_	_	_	_	_		
la	O	_	_	_	_	_	_	_	ENDOFLINE		
perturbation	O	_	_	_	_	_	_	_	_		
dans	O	_	_	_	_	_	_	_	_		
la	O	_	_	_	_	_	_	_	_		
marche	O	_	_	_	_	_	_	_	_		
des	O	_	_	_	_	_	_	_	_		
trains	O	_	_	_	_	_	_	_	_		
sur	O	_	_	_	_	_	_	_	_		
notre	O	_	_	_	_	_	_	_	ENDOFLINE		
réseau	O	_	_	_	_	_	_	_	NOSPACEAFTER		
.	O	_	_	_	_	_	_	_	ENDOFLINE|ENDOFSENTENCE		
Le	O	_	_	_	_	_	_	_	_		
train	O	_	_	_	_	_	_	_	_		
mixte	O	_	_	_	_	_	_	_	_		
qui	O	_	_	_	_	_	_	_	_		
part	O	_	_	_	_	_	_	_	_		
de	O	_	_	_	_	_	_	_	_		
Lausanne	B-LOC	_	_	_	_	_	_	_	_		
pour	O	_	_	_	_	_	_	_	ENDOFLINE		
Berne	B-LOC	_	_	_	_	_	_	_	_		
à	O	_	_	_	_	_	_	_	_		
4	O	_	_	_	_	_	_	_	_		
Ji	O	_	_	_	_	_	_	_	NOSPACEAFTER		
.	O	_	_	_	_	_	_	_	ENDOFSENTENCE		
20	O	_	_	_	_	_	_	_	_		
minutes	O	_	_	_	_	_	_	_	_		
est	O	_	_	_	_	_	_	_	_		
venu	O	_	_	_	_	_	_	_	_		
butter	O	_	_	_	_	_	_	_	_		
hier	O	_	_	_	_	_	_	_	ENDOFLINE		
à	O	_	_	_	_	_	_	_	_		
la	O	_	_	_	_	_	_	_	_		
sortie	O	_	_	_	_	_	_	_	_		
du	O	_	_	_	_	_	_	_	_		
tunnel	O	_	_	_	_	_	_	_	_		
de	O	_	_	_	_	_	_	_	_		
la	O	_	_	_	_	_	_	_	_		
Cornallaz	B-LOC	_	_	_	_	_	_	_	_		
contre	O	_	_	_	_	_	_	_	ENDOFLINE		
un	O	_	_	_	_	_	_	_	_		
amas	O	_	_	_	_	_	_	_	_		
de	O	_	_	_	_	_	_	_	_		
neige	O	_	_	_	_	_	_	_	_		
accumulé	O	_	_	_	_	_	_	_	_		
par	O	_	_	_	_	_	_	_	_		
le	O	_	_	_	_	_	_	_	_		
vent	O	_	_	_	_	_	_	_	_		
dans	O	_	_	_	_	_	_	_	ENDOFLINE		
la	O	_	_	_	_	_	_	_	_		
tranchée	O	_	_	_	_	_	_	_	_		
qui	O	_	_	_	_	_	_	_	_		
précède	O	_	_	_	_	_	_	_	_		
la	O	_	_	_	_	_	_	_	_		
gare	O	_	_	_	_	_	_	_	_		
de	O	_	_	_	_	_	_	_	_		
Chexbi	B-LOC	_	_	_	_	_	_	_	NOSPACEAFTER		
'	O	_	_	_	_	_	_	_	NOSPACEAFTER		
es	O	_	_	_	_	_	_	_	NOSPACEAFTER		
.	O	_	_	_	_	_	_	_	ENDOFLINE|ENDOFSENTENCE		
Ce	O	_	_	_	_	_	_	_	_		
n	O	_	_	_	_	_	_	_	NOSPACEAFTER		
'	O	_	_	_	_	_	_	_	NOSPACEAFTER		
est	O	_	_	_	_	_	_	_	_		
qu	O	_	_	_	_	_	_	_	NOSPACEAFTER		
'	O	_	_	_	_	_	_	_	NOSPACEAFTER		
après	O	_	_	_	_	_	_	_	_		
quatre	O	_	_	_	_	_	_	_	_		
heures	O	_	_	_	_	_	_	_	_		
de	O	_	_	_	_	_	_	_	_		
travail	O	_	_	_	_	_	_	_	ENDOFLINE		
pénible	O	_	_	_	_	_	_	_	_		
que	O	_	_	_	_	_	_	_	_		
cet	O	_	_	_	_	_	_	_	_		
obstacle	O	_	_	_	_	_	_	_	_		
a	O	_	_	_	_	_	_	_	_		
pu	O	_	_	_	_	_	_	_	_		
être	O	_	_	_	_	_	_	_	_		
franchi	O	_	_	_	_	_	_	_	NOSPACEAFTER		
.	O	_	_	_	_	_	_	_	ENDOFLINE|ENDOFSENTENCE		
Le	O	_	_	_	_	_	_	_	_		
train	O	_	_	_	_	_	_	_	_		
parti	O	_	_	_	_	_	_	_	_		
de	O	_	_	_	_	_	_	_	_		
Berne	B-LOC	_	_	_	_	_	_	_	_		
à	O	_	_	_	_	_	_	_	_		
2	O	_	_	_	_	_	_	_	_		
h	O	_	_	_	_	_	_	_	NOSPACEAFTER		
.	O	_	_	_	_	_	_	_	ENDOFSENTENCE		
22	O	_	_	_	_	_	_	_	_		
m	O	_	_	_	_	_	_	_	NOSPACEAFTER		
.	O	_	_	_	_	_	_	_	ENDOFSENTENCE		
a	O	_	_	_	_	_	_	_	_		
été	O	_	_	_	_	_	_	_	ENDOFLINE		
forcément	O	_	_	_	_	_	_	_	_		
arrêté	O	_	_	_	_	_	_	_	_		
à	O	_	_	_	_	_	_	_	_		
la	O	_	_	_	_	_	_	_	_		
gare	O	_	_	_	_	_	_	_	_		
de	I-LOC	_	_	_	_	_	_	_	_		
Chexbres	I-LOC	_	_	_	_	_	_	_	_		
et	O	_	_	_	_	_	_	_	ENDOFLINE		
n	O	_	_	_	_	_	_	_	NOSPACEAFTER		
'	O	_	_	_	_	_	_	_	NOSPACEAFTER		
est	O	_	_	_	_	_	_	_	_		
arrivé	O	_	_	_	_	_	_	_	_		
à	O	_	_	_	_	_	_	_	_		
Lausanne	B-LOC	_	_	_	_	_	_	_	_		
qu	O	_	_	_	_	_	_	_	NOSPACEAFTER		
'	O	_	_	_	_	_	_	_	NOSPACEAFTER		
à	O	_	_	_	_	_	_	_	_		
9	O	_	_	_	_	_	_	_	_		
h	O	_	_	_	_	_	_	_	NOSPACEAFTER		
.	O	_	_	_	_	_	_	_	ENDOFSENTENCE		
3	O	_	_	_	_	_	_	_	_		
/	O	_	_	_	_	_	_	_	_		
4	O	_	_	_	_	_	_	_	_		
du	O	_	_	_	_	_	_	_	_		
soir	O	_	_	_	_	_	_	_	ENDOFLINE		
au	O	_	_	_	_	_	_	_	_		
lieu	O	_	_	_	_	_	_	_	_		
de	O	_	_	_	_	_	_	_	_		
6	O	_	_	_	_	_	_	_	_		
h	O	_	_	_	_	_	_	_	NOSPACEAFTER		
.	O	_	_	_	_	_	_	_	ENDOFSENTENCE		
17	O	_	_	_	_	_	_	_	_		
m	O	_	_	_	_	_	_	_	NOSPACEAFTER		
.	O	_	_	_	_	_	_	_	ENDOFLINE|ENDOFSENTENCE		
Le	O	_	_	_	_	_	_	_	_		
dernier	O	_	_	_	_	_	_	_	_		
train	O	_	_	_	_	_	_	_	_		
à	O	_	_	_	_	_	_	_	_		
destination	O	_	_	_	_	_	_	_	_		
de	O	_	_	_	_	_	_	_	_		
Berne	B-LOC	_	_	_	_	_	_	_	_		
est	O	_	_	_	_	_	_	_	ENDOFLINE		
parti	O	_	_	_	_	_	_	_	_		
à	O	_	_	_	_	_	_	_	_		
9	O	_	_	_	_	_	_	_	_		
h	O	_	_	_	_	_	_	_	NOSPACEAFTER		
.	O	_	_	_	_	_	_	_	ENDOFSENTENCE		
30	O	_	_	_	_	_	_	_	_		
m	O	_	_	_	_	_	_	_	NOSPACEAFTER		
.	O	_	_	_	_	_	_	_	ENDOFSENTENCE		
au	O	_	_	_	_	_	_	_	_		
lieu	O	_	_	_	_	_	_	_	_		
de	O	_	_	_	_	_	_	_	_		
6	O	_	_	_	_	_	_	_	_		
h	O	_	_	_	_	_	_	_	NOSPACEAFTER		
.	O	_	_	_	_	_	_	_	ENDOFSENTENCE		
25	O	_	_	_	_	_	_	_	_		
min	O	_	_	_	_	_	_	_	NOSPACEAFTER		
.	O	_	_	_	_	_	_	_	ENDOFLINE|ENDOFSENTENCE		
Sur	O	_	_	_	_	_	_	_	_		
la	O	_	_	_	_	_	_	_	_		
ligne	O	_	_	_	_	_	_	_	_		
de	O	_	_	_	_	_	_	_	_		
la	O	_	_	_	_	_	_	_	_		
Broyé	B-LOC	_	_	_	_	_	_	_	_		
le	O	_	_	_	_	_	_	_	_		
train	O	_	_	_	_	_	_	_	_		
qui	O	_	_	_	_	_	_	_	_		
part	O	_	_	_	_	_	_	_	_		
de	O	_	_	_	_	_	_	_	ENDOFLINE		
Moudon	B-LOC	_	_	_	_	_	_	_	_		
à	O	_	_	_	_	_	_	_	_		
2	O	_	_	_	_	_	_	_	_		
h	O	_	_	_	_	_	_	_	NOSPACEAFTER		
.	O	_	_	_	_	_	_	_	ENDOFSENTENCE		
30	O	_	_	_	_	_	_	_	_		
m	O	_	_	_	_	_	_	_	NOSPACEAFTER		
.	O	_	_	_	_	_	_	_	ENDOFSENTENCE		
a	O	_	_	_	_	_	_	_	_		
été	O	_	_	_	_	_	_	_	_		
arrêté	O	_	_	_	_	_	_	_	_		
entre	O	_	_	_	_	_	_	_	ENDOFLINE		
Chàtillens	B-LOC	_	_	_	_	_	_	_	_		
et	O	_	_	_	_	_	_	_	_		
Palézieux	B-LOC	_	_	_	_	_	_	_	NOSPACEAFTER		
.	O	_	_	_	_	_	_	_	ENDOFSENTENCE		
Il	O	_	_	_	_	_	_	_	_		
a	O	_	_	_	_	_	_	_	_		
fallu	O	_	_	_	_	_	_	_	_		
également	O	_	_	_	_	_	_	_	_		
lui	O	_	_	_	_	_	_	_	ENDOFLINE		
frayer	O	_	_	_	_	_	_	_	_		
un	O	_	_	_	_	_	_	_	_		
passage	O	_	_	_	_	_	_	_	_		
à	O	_	_	_	_	_	_	_	_		
travers	O	_	_	_	_	_	_	_	_		
les	O	_	_	_	_	_	_	_	_		
neiges	O	_	_	_	_	_	_	_	ENDOFLINE		
amoncelées	O	_	_	_	_	_	_	_	_		
au	O	_	_	_	_	_	_	_	_		
moyen	O	_	_	_	_	_	_	_	_		
de	O	_	_	_	_	_	_	_	_		
la	O	_	_	_	_	_	_	_	_		
pelle	O	_	_	_	_	_	_	_	_		
et	O	_	_	_	_	_	_	_	_		
ce	O	_	_	_	_	_	_	_	_		
n	O	_	_	_	_	_	_	_	NOSPACEAFTER		
'	O	_	_	_	_	_	_	_	NOSPACEAFTER		
est	O	_	_	_	_	_	_	_	_		
qu	O	_	_	_	_	_	_	_	NOSPACEAFTER		
'	O	_	_	_	_	_	_	_	NOSPACEAFTER		
à	O	_	_	_	_	_	_	_	_		
8	O	_	_	_	_	_	_	_	ENDOFLINE		
heures	O	_	_	_	_	_	_	_	_		
du	O	_	_	_	_	_	_	_	_		
soir	O	_	_	_	_	_	_	_	_		
qu	O	_	_	_	_	_	_	_	NOSPACEAFTER		
'	O	_	_	_	_	_	_	_	NOSPACEAFTER		
il	O	_	_	_	_	_	_	_	_		
a	O	_	_	_	_	_	_	_	_		
pu	O	_	_	_	_	_	_	_	_		
déposer	O	_	_	_	_	_	_	_	_		
à	O	_	_	_	_	_	_	_	_		
Palézieux	B-LOC	_	_	_	_	_	_	_	ENDOFLINE		
ses	O	_	_	_	_	_	_	_	_		
infortunés	O	_	_	_	_	_	_	_	_		
voyageurs	O	_	_	_	_	_	_	_	_		
qui	O	_	_	_	_	_	_	_	_		
ont	O	_	_	_	_	_	_	_	_		
pu	O	_	_	_	_	_	_	_	_		
prendre	O	_	_	_	_	_	_	_	_		
à	O	_	_	_	_	_	_	_	ENDOFLINE		
cette	O	_	_	_	_	_	_	_	_		
station	O	_	_	_	_	_	_	_	_		
le	O	_	_	_	_	_	_	_	_		
dernier	O	_	_	_	_	_	_	_	_		
train	O	_	_	_	_	_	_	_	_		
de	O	_	_	_	_	_	_	_	_		
Berne	B-LOC	_	_	_	_	_	_	_	_		
arrivé	O	_	_	_	_	_	_	_	_		
à	O	_	_	_	_	_	_	_	ENDOFLINE		
Lausanne	B-LOC	_	_	_	_	_	_	_	_		
avec	O	_	_	_	_	_	_	_	_		
une	O	_	_	_	_	_	_	_	_		
heure	O	_	_	_	_	_	_	_	_		
et	O	_	_	_	_	_	_	_	_		
quart	O	_	_	_	_	_	_	_	_		
de	O	_	_	_	_	_	_	_	_		
retard	O	_	_	_	_	_	_	_	NOSPACEAFTER		
.	O	_	_	_	_	_	_	_	ENDOFLINE|ENDOFSENTENCE		
Chose	O	_	_	_	_	_	_	_	_		
singulière	O	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	_		
dans	O	_	_	_	_	_	_	_	_		
la	O	_	_	_	_	_	_	_	_		
vallée	B-LOC	_	_	_	_	_	_	_	_		
du	I-LOC	_	_	_	_	_	_	_	_		
Rhône	I-LOC	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	ENDOFLINE		
la	O	_	_	_	_	_	_	_	_		
circulation	O	_	_	_	_	_	_	_	_		
a	O	_	_	_	_	_	_	_	_		
été	O	_	_	_	_	_	_	_	_		
plus	O	_	_	_	_	_	_	_	_		
difficile	O	_	_	_	_	_	_	_	_		
encore	O	_	_	_	_	_	_	_	NOSPACEAFTER		
.	O	_	_	_	_	_	_	_	ENDOFSENTENCE		
Dès	O	_	_	_	_	_	_	_	ENDOFLINE		
le	O	_	_	_	_	_	_	_	_		
matin	O	_	_	_	_	_	_	_	_		
un	O	_	_	_	_	_	_	_	_		
fôhn	O	_	_	_	_	_	_	_	_		
violent	O	_	_	_	_	_	_	_	_		
chassait	O	_	_	_	_	_	_	_	_		
devant	O	_	_	_	_	_	_	_	_		
lui	O	_	_	_	_	_	_	_	_		
de	O	_	_	_	_	_	_	_	ENDOFLINE		
vrais	O	_	_	_	_	_	_	_	_		
tourbillons	O	_	_	_	_	_	_	_	_		
d	O	_	_	_	_	_	_	_	NOSPACEAFTER		
'	O	_	_	_	_	_	_	_	NOSPACEAFTER		
une	O	_	_	_	_	_	_	_	_		
neige	O	_	_	_	_	_	_	_	_		
sèche	O	_	_	_	_	_	_	_	_		
et	O	_	_	_	_	_	_	_	_		
grenue	O	_	_	_	_	_	_	_	ENDOFLINE		
qui	O	_	_	_	_	_	_	_	_		
s	O	_	_	_	_	_	_	_	NOSPACEAFTER		
'	O	_	_	_	_	_	_	_	NOSPACEAFTER		
accumulait	O	_	_	_	_	_	_	_	_		
dans	O	_	_	_	_	_	_	_	_		
les	O	_	_	_	_	_	_	_	_		
tranchées	O	_	_	_	_	_	_	_	_		
et	O	_	_	_	_	_	_	_	ENDOFLINE		
opposait	O	_	_	_	_	_	_	_	_		
un	O	_	_	_	_	_	_	_	_		
obstacle	O	_	_	_	_	_	_	_	_		
infranchissable	O	_	_	_	_	_	_	_	_		
à	O	_	_	_	_	_	_	_	_		
la	O	_	_	_	_	_	_	_	_		
marche	O	_	_	_	_	_	_	_	ENDOFLINE		
des	O	_	_	_	_	_	_	_	_		
convois	O	_	_	_	_	_	_	_	NOSPACEAFTER		
.	O	_	_	_	_	_	_	_	ENDOFSENTENCE		
Le	O	_	_	_	_	_	_	_	_		
chasse	O	_	_	_	_	_	_	_	NOSPACEAFTER		
-	O	_	_	_	_	_	_	_	NOSPACEAFTER		
neige	O	_	_	_	_	_	_	_	_		
pénétrait	O	_	_	_	_	_	_	_	_		
de	O	_	_	_	_	_	_	_	ENDOFLINE		
quelques	O	_	_	_	_	_	_	_	_		
mètres	O	_	_	_	_	_	_	_	_		
dans	O	_	_	_	_	_	_	_	_		
la	O	_	_	_	_	_	_	_	_		
masse	O	_	_	_	_	_	_	_	_		
blanche	O	_	_	_	_	_	_	_	_		
sans	O	_	_	_	_	_	_	_	ENDOFLINE		
pouvoir	O	_	_	_	_	_	_	_	_		
la	O	_	_	_	_	_	_	_	_		
franchir	O	_	_	_	_	_	_	_	NOSPACEAFTER		
.	O	_	_	_	_	_	_	_	ENDOFSENTENCE		
Les	O	_	_	_	_	_	_	_	_		
efforts	O	_	_	_	_	_	_	_	_		
des	O	_	_	_	_	_	_	_	_		
escouades	O	_	_	_	_	_	_	_	_		
de	O	_	_	_	_	_	_	_	ENDOFLINE		
pionniers	O	_	_	_	_	_	_	_	_		
étaient	O	_	_	_	_	_	_	_	_		
déjoués	O	_	_	_	_	_	_	_	_		
par	O	_	_	_	_	_	_	_	_		
la	O	_	_	_	_	_	_	_	_		
violence	O	_	_	_	_	_	_	_	_		
du	O	_	_	_	_	_	_	_	ENDOFLINE		
vent	O	_	_	_	_	_	_	_	_		
qui	O	_	_	_	_	_	_	_	_		
comblait	O	_	_	_	_	_	_	_	_		
à	O	_	_	_	_	_	_	_	_		
mesure	O	_	_	_	_	_	_	_	_		
les	O	_	_	_	_	_	_	_	_		
tranchées	O	_	_	_	_	_	_	_	ENDOFLINE		
ouvertes	O	_	_	_	_	_	_	_	_		
à	O	_	_	_	_	_	_	_	_		
la	O	_	_	_	_	_	_	_	_		
pelle	O	_	_	_	_	_	_	_	NOSPACEAFTER		
.	O	_	_	_	_	_	_	_	ENDOFSENTENCE		
On	O	_	_	_	_	_	_	_	_		
dit	O	_	_	_	_	_	_	_	_		
que	O	_	_	_	_	_	_	_	_		
les	O	_	_	_	_	_	_	_	_		
trains	O	_	_	_	_	_	_	_	_		
ne	O	_	_	_	_	_	_	_	ENDOFLINE		
circulaient	O	_	_	_	_	_	_	_	_		
plus	O	_	_	_	_	_	_	_	_		
hier	O	_	_	_	_	_	_	_	_		
entre	O	_	_	_	_	_	_	_	_		
le	O	_	_	_	_	_	_	_	_		
Bouveret	B-LOC	_	_	_	_	_	_	_	_		
et	O	_	_	_	_	_	_	_	ENDOFLINE		
Saint	B-LOC	_	_	_	_	_	_	_	NOSPACEAFTER		
-	I-LOC	_	_	_	_	_	_	_	NOSPACEAFTER		
Maurice	I-LOC	_	_	_	_	_	_	_	NOSPACEAFTER		
.	O	_	_	_	_	_	_	_	ENDOFSENTENCE		
Un	O	_	_	_	_	_	_	_	_		
convoi	O	_	_	_	_	_	_	_	_		
est	O	_	_	_	_	_	_	_	_		
resté	O	_	_	_	_	_	_	_	_		
à	O	_	_	_	_	_	_	_	_		
peu	O	_	_	_	_	_	_	_	_		
près	O	_	_	_	_	_	_	_	_		
toute	O	_	_	_	_	_	_	_	ENDOFLINE		
la	O	_	_	_	_	_	_	_	_		
journée	O	_	_	_	_	_	_	_	_		
en	O	_	_	_	_	_	_	_	_		
détresse	O	_	_	_	_	_	_	_	_		
dans	O	_	_	_	_	_	_	_	_		
les	O	_	_	_	_	_	_	_	_		
environs	O	_	_	_	_	_	_	_	ENDOFLINE		
d	O	_	_	_	_	_	_	_	NOSPACEAFTER		
'	O	_	_	_	_	_	_	_	NOSPACEAFTER		
Evionnaz	B-LOC	_	_	_	_	_	_	_	NOSPACEAFTER		
.	O	_	_	_	_	_	_	_	ENDOFSENTENCE		
A	O	_	_	_	_	_	_	_	_		
minuit	O	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	_		
le	O	_	_	_	_	_	_	_	_		
dernier	O	_	_	_	_	_	_	_	_		
train	O	_	_	_	_	_	_	_	_		
du	O	_	_	_	_	_	_	_	_		
Valais	B-LOC	_	_	_	_	_	_	_	ENDOFLINE		
n	O	_	_	_	_	_	_	_	NOSPACEAFTER		
'	O	_	_	_	_	_	_	_	NOSPACEAFTER		
avait	O	_	_	_	_	_	_	_	_		
pas	O	_	_	_	_	_	_	_	_		
pu	O	_	_	_	_	_	_	_	_		
franchir	O	_	_	_	_	_	_	_	_		
la	O	_	_	_	_	_	_	_	_		
station	O	_	_	_	_	_	_	_	_		
de	O	_	_	_	_	_	_	_	_		
St	B-LOC	_	_	_	_	_	_	_	NOSPACEAFTER		
-	I-LOC	_	_	_	_	_	_	_	NOSPACEAFTER		
Triphon	I-LOC	_	_	_	_	_	_	_	ENDOFLINE		
où	O	_	_	_	_	_	_	_	_		
normalement	O	_	_	_	_	_	_	_	_		
il	O	_	_	_	_	_	_	_	_		
devait	O	_	_	_	_	_	_	_	_		
arriver	O	_	_	_	_	_	_	_	_		
à	O	_	_	_	_	_	_	_	_		
8	O	_	_	_	_	_	_	_	_		
h	O	_	_	_	_	_	_	_	NOSPACEAFTER		
.	O	_	_	_	_	_	_	_	ENDOFSENTENCE		
21	O	_	_	_	_	_	_	_	ENDOFLINE		
minutes	O	_	_	_	_	_	_	_	NOSPACEAFTER		
.	O	_	_	_	_	_	_	_	ENDOFLINE|ENDOFSENTENCE		
Sur	O	_	_	_	_	_	_	_	_		
la	O	_	_	_	_	_	_	_	_		
ligne	O	_	_	_	_	_	_	_	_		
de	O	_	_	_	_	_	_	_	_		
Jougne	B-LOC	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	_		
le	O	_	_	_	_	_	_	_	_		
service	O	_	_	_	_	_	_	_	_		
des	O	_	_	_	_	_	_	_	_		
trains	O	_	_	_	_	_	_	_	ENDOFLINE		
s	O	_	_	_	_	_	_	_	NOSPACEAFTER		
'	O	_	_	_	_	_	_	_	NOSPACEAFTER		
accomplit	O	_	_	_	_	_	_	_	_		
d	O	_	_	_	_	_	_	_	NOSPACEAFTER		
'	O	_	_	_	_	_	_	_	NOSPACEAFTER		
une	O	_	_	_	_	_	_	_	_		
manière	O	_	_	_	_	_	_	_	_		
relativement	O	_	_	_	_	_	_	_	ENDOFLINE		
facile	O	_	_	_	_	_	_	_	NOSPACEAFTER		
.	O	_	_	_	_	_	_	_	ENDOFSENTENCE		
Le	O	_	_	_	_	_	_	_	_		
courrier	O	_	_	_	_	_	_	_	_		
de	O	_	_	_	_	_	_	_	_		
Paris	B-LOC	_	_	_	_	_	_	_	_		
est	O	_	_	_	_	_	_	_	_		
arrivé	O	_	_	_	_	_	_	_	_		
hier	O	_	_	_	_	_	_	_	_		
et	O	_	_	_	_	_	_	_	ENDOFLINE		
aujourd	O	_	_	_	_	_	_	_	NOSPACEAFTER		
'	O	_	_	_	_	_	_	_	NOSPACEAFTER		
hui	O	_	_	_	_	_	_	_	_		
avec	O	_	_	_	_	_	_	_	_		
quelques	O	_	_	_	_	_	_	_	_		
minutes	O	_	_	_	_	_	_	_	_		
seulement	O	_	_	_	_	_	_	_	ENDOFLINE		
de	O	_	_	_	_	_	_	_	_		
retard	O	_	_	_	_	_	_	_	NOSPACEAFTER		
.	O	_	_	_	_	_	_	_	ENDOFLINE|ENDOFSENTENCE		
On	O	_	_	_	_	_	_	_	_		
s	O	_	_	_	_	_	_	_	NOSPACEAFTER		
'	O	_	_	_	_	_	_	_	NOSPACEAFTER		
accorde	O	_	_	_	_	_	_	_	_		
à	O	_	_	_	_	_	_	_	_		
rendre	O	_	_	_	_	_	_	_	_		
hommage	O	_	_	_	_	_	_	_	_		
à	O	_	_	_	_	_	_	_	ENDOFLINE		
l	O	_	_	_	_	_	_	_	NOSPACEAFTER		
'	O	_	_	_	_	_	_	_	NOSPACEAFTER		
énergie	O	_	_	_	_	_	_	_	_		
et	O	_	_	_	_	_	_	_	_		
à	O	_	_	_	_	_	_	_	_		
l	O	_	_	_	_	_	_	_	NOSPACEAFTER		
'	O	_	_	_	_	_	_	_	NOSPACEAFTER		
activité	O	_	_	_	_	_	_	_	_		
déployées	O	_	_	_	_	_	_	_	_		
dans	O	_	_	_	_	_	_	_	_		
ces	O	_	_	_	_	_	_	_	ENDOFLINE		
circonstances	O	_	_	_	_	_	_	_	_		
difficiles	O	_	_	_	_	_	_	_	_		
par	O	_	_	_	_	_	_	_	_		
les	O	_	_	_	_	_	_	_	_		
agents	O	_	_	_	_	_	_	_	_		
de	O	_	_	_	_	_	_	_	_		
tout	O	_	_	_	_	_	_	_	_		
rang	O	_	_	_	_	_	_	_	_		
de	O	_	_	_	_	_	_	_	ENDOFLINE		
la	O	_	_	_	_	_	_	_	_		
compagnie	O	_	_	_	_	_	_	_	_		
S	O	_	_	_	_	_	_	_	_		
.	I-ORG	_	_	_	_	_	_	_	NOSPACEAFTER|ENDOFSENTENCE		
-	O	_	_	_	_	_	_	_	NOSPACEAFTER		
O	I-ORG	_	_	_	_	_	_	_	_		
.	I-ORG	_	_	_	_	_	_	_	NOSPACEAFTER|ENDOFSENTENCE		
,	O	_	_	_	_	_	_	_	_		
ainsi	O	_	_	_	_	_	_	_	_		
qu	O	_	_	_	_	_	_	_	NOSPACEAFTER		
'	O	_	_	_	_	_	_	_	NOSPACEAFTER		
à	O	_	_	_	_	_	_	_	_		
la	O	_	_	_	_	_	_	_	ENDOFLINE		
complaisance	O	_	_	_	_	_	_	_	_		
des	O	_	_	_	_	_	_	_	_		
employés	O	_	_	_	_	_	_	_	_		
de	O	_	_	_	_	_	_	_	_		
la	O	_	_	_	_	_	_	_	_		
gare	O	_	_	_	_	_	_	_	_		
de	I-LOC	_	_	_	_	_	_	_	_		
Lausanne	B-LOC	_	_	_	_	_	_	_	ENDOFLINE		
et	O	_	_	_	_	_	_	_	_		
à	O	_	_	_	_	_	_	_	_		
leur	O	_	_	_	_	_	_	_	_		
empressement	O	_	_	_	_	_	_	_	_		
à	O	_	_	_	_	_	_	_	_		
renseigner	O	_	_	_	_	_	_	_	_		
et	O	_	_	_	_	_	_	_	_		
à	O	_	_	_	_	_	_	_	ENDOFLINE		
rassurer	O	_	_	_	_	_	_	_	_		
le	O	_	_	_	_	_	_	_	_		
public	O	_	_	_	_	_	_	_	NOSPACEAFTER		
.	O	_	_	_	_	_	_	_	ENDOFLINE|ENDOFSENTENCE		
Il	O	_	_	_	_	_	_	_	_		
est	O	_	_	_	_	_	_	_	_		
à	O	_	_	_	_	_	_	_	_		
espérer	O	_	_	_	_	_	_	_	_		
que	O	_	_	_	_	_	_	_	_		
le	O	_	_	_	_	_	_	_	_		
dégel	O	_	_	_	_	_	_	_	_		
n	O	_	_	_	_	_	_	_	NOSPACEAFTER		
'	O	_	_	_	_	_	_	_	NOSPACEAFTER		
interviendra	O	_	_	_	_	_	_	_	ENDOFLINE		
pas	O	_	_	_	_	_	_	_	_		
d	O	_	_	_	_	_	_	_	NOSPACEAFTER		
'	O	_	_	_	_	_	_	_	NOSPACEAFTER		
une	O	_	_	_	_	_	_	_	_		
manière	O	_	_	_	_	_	_	_	_		
trop	O	_	_	_	_	_	_	_	_		
subite	O	_	_	_	_	_	_	_	_		
et	O	_	_	_	_	_	_	_	_		
que	O	_	_	_	_	_	_	_	_		
les	O	_	_	_	_	_	_	_	ENDOFLINE		
masses	O	_	_	_	_	_	_	_	_		
de	O	_	_	_	_	_	_	_	_		
neige	O	_	_	_	_	_	_	_	_		
qui	O	_	_	_	_	_	_	_	_		
couvrent	O	_	_	_	_	_	_	_	_		
le	O	_	_	_	_	_	_	_	_		
sol	O	_	_	_	_	_	_	_	_		
pourront	O	_	_	_	_	_	_	_	ENDOFLINE		
s	O	_	_	_	_	_	_	_	NOSPACEAFTER		
'	O	_	_	_	_	_	_	_	NOSPACEAFTER		
écouler	O	_	_	_	_	_	_	_	_		
lentement	O	_	_	_	_	_	_	_	NOSPACEAFTER		
.	O	_	_	_	_	_	_	_	ENDOFLINE|ENDOFSENTENCE		
LETTRE	O	_	_	_	_	_	_	_	_		
DE	O	_	_	_	_	_	_	_	_		
PAÏU	O	_	_	_	_	_	_	_	_		
8	O	_	_	_	_	_	_	_	ENDOFLINE		
(	O	_	_	_	_	_	_	_	NOSPACEAFTER		
De	O	_	_	_	_	_	_	_	_		
notre	O	_	_	_	_	_	_	_	_		
correspondant	O	_	_	_	_	_	_	_	_		
particulier	O	_	_	_	_	_	_	_	NOSPACEAFTER		
